text,true_label,predicted_label,predicted_risk_score,risk_level,error_type,reasons,indicators
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,0,20,LOW,false_negative,Link or verification action detected.,link
FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for £3/wk,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Please call our customer service representative on 7044518857 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.5,00,000. FL1PKART TEAM",1,0,20,LOW,false_negative,Financial or reward language detected.,financial
CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16,1,0,20,LOW,false_negative,Link or verification action detected.,link
	YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW!,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",0,1,30,MEDIUM,false_positive,Urgent language detected. | Financial or reward language detected.,financial | urgent_language
Great. So should i send you my account number.,0,1,50,HIGH,false_positive,Banking-related language detected. | Sensitive personal information language detected. | Request for sensitive personal or financial information detected.,banking | personal_information | sensitive_request
ONLY FOR GIRLS BBA/MBA/EXECUTIVE MBA/B.SC.IT/BIO TECH/B.TECH FLEXIBLE TIMINGS GOVT.RECOGNIZED(www.bsaitm.in) JOIN BSAITM VIKASPURI 9873000679/9650354070,1,0,20,LOW,false_negative,Link or verification action detected.,link
"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
Need to clear doubts before exams? Experienced tutors help is just a click away- Free helpdesk round the clock. Just logon to eAgetutor.com or call 011-46592191,1,0,20,LOW,false_negative,Link or verification action detected.,link
IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"Todays Vodafone numbers ending 8023 are selected to receive a Rs.2,00,000 award. If you have a match please call 8927307655 quoting claim code 6001 standard rates apply",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,1,0,15,LOW,false_negative,Banking-related language detected.,banking
"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
	Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,1,0,20,LOW,false_negative,Link or verification action detected.,link
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277.,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"	44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,1,0,15,LOW,false_negative,Banking-related language detected.,banking
"Ramprastha has Launched The Edge Towers in Gurgaon, @2800/-*Home Loan @ 0*% Just Pay 15% Now & EMI Starts On Possession 2/3/4 BHK Luxurious Flats Cal- 9650988282",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
	Call FREEPHONE 0800 542 0578 now!,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
	XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"	Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380644,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
74355 XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"House-Maid is the murderer, because the man was murdered on  26th January.. As public holiday all govt.instituitions are closed,including post office..",0,1,25,MEDIUM,false_positive,Threat of account suspension or closure detected.,threat
"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Your account has been credited with 500 FREE Text Messages. To activate call 08718738034,1,0,15,LOW,false_negative,Banking-related language detected.,banking
No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends.,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Dear Customer your pyatm wallet Has been booked and hold Your amount please complete your kyc contact customer care 8927307655,1,0,15,LOW,false_negative,Banking-related language detected.,banking
This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
WE WILL HOLD YOUR PAYTM AMOUNT AFTER SOMETIME COMPLETE YOUR PAYTM KYC PAYTM OFFICE PH 8536074310,1,0,15,LOW,false_negative,Banking-related language detected.,banking
Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",1,0,20,LOW,false_negative,Link or verification action detected.,link
"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. ",1,0,20,LOW,false_negative,Link or verification action detected.,link
"	Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
	U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077  www.getzed.co.uk,1,0,20,LOW,false_negative,Link or verification action detected.,link
Someone who came in contact with you tested positive or has shown symptoms for COVID-19 & recommends you self-isolate/get tested. More at COVID-19 anon.com/alert,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
FROM 88066 LOST £12 HELP,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
PPORTUNITY to Own flat on NOIDA Xprsway *2bhk-19.63 lac(Al Insv) *3bhk-25.46 lac(Al.Insv) *0km frm FNG/Metro statn *Valid for 6 dayz sms IN to 567670,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
PRIVATE! Your 2003 Account Statement for 078,1,0,15,LOW,false_negative,Banking-related language detected.,banking
	We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mi? Reply or call 08000930705 NOW,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Congratulations!!! You are Due for a COVID-19 Grant, To Redeem,Contact us Via Email: covid19grant@cokegrant.com",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,1,0,15,LOW,false_negative,Banking-related language detected.,banking
Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",1,0,20,LOW,false_negative,Financial or reward language detected.,financial
	You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",0,1,30,MEDIUM,false_positive,Download or install instruction detected.,download
Congratulations - in this week's competition draw u have won the �1450 prize to claim just call 09050002312 . T&Cs/stop SMS 08718727868.,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just £5 by replying GET BBDELUXE and take the challenge,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"As a valued customer, I am pleased to advise you that following recent review of your Mobile No. you are awarded with a Rs.5,00,000 Bonus Prize, call 8536074310",1,0,20,LOW,false_negative,Financial or reward language detected.,financial
	-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,0,20,LOW,false_negative,Link or verification action detected.,link
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
Your SAM registration has been received! Click here to complete the process�http://rghst.xyz/NPHTmtb Reply STOP 2 opt out of future texts,1,0,20,LOW,false_negative,Link or verification action detected.,link
Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Wellness Profile -health checkup from Thyrocare: Covers heart, thyroid, kidney, liver, diabetes & more. 63 Wellness Tests @home service with 33% Disc. : 09222201004",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Filthy stories and GIRLS waiting for your,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Lol they don't know about my awesome phone. I could click delete right now if I want.,0,1,40,MEDIUM,false_positive,Urgent language detected. | Link or verification action detected.,link | urgent_language
You have won a Nokia 7250i.  To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
88800 and 89034 are premium phone services call 08718711108,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Hey I am really * want to chat or see me  text to 08718738034,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p ",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",1,0,20,LOW,false_negative,Financial or reward language detected.,financial
FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. )",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Please call our customer service representative on 8536074310 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.10,00,000. FL1PKART TEAM",1,0,20,LOW,false_negative,Financial or reward language detected.,financial
	We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
	You have 1 new voicemail. Please call 08719181513.,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Dear customer, Due to BVN system upgrade, your ATM CARD has been de-activated by CBN. To re-activate call customer care 08167340838 for help.",1,0,15,LOW,false_negative,Banking-related language detected.,banking
Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
$9 Only!Sales on Official Oakley Sunglasses Online Store. 2016 New Styles All Up To 75% OFF. Final Day Flash Sale And Free Returns. Official Oakley Sunglasses Outlets At: http:// www.oakleyoutletsco.com,1,0,20,LOW,false_negative,Link or verification action detected.,link
Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!,1,0,20,LOW,false_negative,Link or verification action detected.,link
"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
	U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,0,1,25,MEDIUM,false_positive,Threat of account suspension or closure detected.,threat
! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"	As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066368470",1,0,20,LOW,false_negative,Financial or reward language detected.,financial
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007  www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,1,0,20,LOW,false_negative,Link or verification action detected.,link
88066 FROM 88066 LOST 3POUND HELP,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04,1,0,15,LOW,false_negative,Banking-related language detected.,banking
Camera - You are awarded a SiPix Digital Camera! call 09061221065 fromm landline. Delivery within 8 days,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
	Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,1,0,20,LOW,false_negative,Link or verification action detected.,link
"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
Please call our customer service representative on 0800 169 6032 between 10am-9pm as you have WON a guaranteed £2000 cash or £6000 prize!,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk,1,0,20,LOW,false_negative,Link or verification action detected.,link
Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04,1,0,15,LOW,false_negative,Banking-related language detected.,banking
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Play CricEx LIVE during India vs. Netherlands match - WIN iPad,  Blackberry & Team India Jerseys at the end of the match. Logon to http://m.ibibo.com/c/10",1,0,20,LOW,false_negative,Link or verification action detected.,link
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"NO EMI TILL POSSESSION. Today group on Noida Exprsway offer once upon life time offer 2BR-930sft-Rs15, 046pm Sample appt ready 5min from Amity 9999975317",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
The evo. I just had to download flash. Jealous?,0,1,30,MEDIUM,false_positive,Download or install instruction detected.,download
You are awarded a SiPix Digital Camera! call 09061221062 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm.,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Natalja (25/F) is inviting you to be her friend.  See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,1,0,20,LOW,false_negative,Link or verification action detected.,link
"Todays Vodafone numbers ending 5347 are selected to receive a Rs.2,00,000 award. If you have a match please call 6299257179 quoting claim code 2041 standard rates apply",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
WE WILL HOLD YOUR PAYTM AMOUNT AFTER SOMETIME COMPLETE YOUR PAYTM KYC PAYTM OFFICE PH 8927307655,1,0,15,LOW,false_negative,Banking-related language detected.,banking
Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,1,0,15,LOW,false_negative,Banking-related language detected.,banking
"Dear Customer,U've been selected to stay in F1VE STAR hotels - FOR T0DAY'S DRAW! Holiday valued at INR 5,00,000.Dial 7679046492 to claim",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Minimal documentation,  Quick approval,  Low rates. Home Loan @9.25%.Loan Against Properties@11.5%. Call on 011-43065228 visit www.mymoneymantra.com.T$C apply.",1,0,20,LOW,false_negative,Link or verification action detected.,link
"To cancel this order you should visit http/aetacms.com/.cas/auo.html/redirect-aopis.it�to review your details. if you need additional help, contact Apple Support.",1,0,20,LOW,false_negative,Link or verification action detected.,link
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Call FREEPHONE 0800 542 0578 now!,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks,0,1,30,MEDIUM,false_positive,Download or install instruction detected.,download
"Todays Vodafone numbers ending 7148 are selected to receive a Rs.2,00,000 award. If you have a match please call 7679046492 quoting claim code 7834 standard rates apply",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,1,0,20,LOW,false_negative,Link or verification action detected.,link
* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"	Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply.",1,0,20,LOW,false_negative,Link or verification action detected.,link
Bought one ringtone and now getting texts costing 3 pound offering more tones etc,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
Friendly reminder- don't forget to confirm your SAM update from the other day!�http://rghst.rocks/ GBs630y,1,0,20,LOW,false_negative,Link or verification action detected.,link
Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! TEXT YES for callback, no to remove from records",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p ",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
